PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
ABBOTT (ROBERT),259,PLAYGROUND,OUTDOOR,1178619.54153,1841712.82415,"(41.72096, -87.621351)"
ABBOTT (ROBERT),259,SENIOR CENTER,INDOOR,1178491.24651,1841782.61436,"(41.721154, -87.621819)"
ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR,1178475.8803999999,1841904.3723200001,"(41.721489, -87.621872)"
ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR,1178306.43389,1841899.4609099999,"(41.721479, -87.622493)"
ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR,1178678.4794000001,1841175.63001,"(41.719484, -87.621152)"
ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR,1178160.31705,1841164.5791799999,"(41.719466, -87.62305)"
ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR,1178080.5052100001,1841614.59436,"(41.720702, -87.623329)"
ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR,1178125.93655,1841614.59436,"(41.720701, -87.623162)"
ABBOTT (ROBERT),259,TRACK,OUTDOOR,1178253.6354400001,1840687.55061,"(41.718154, -87.622723)"
ABBOTT (ROBERT),259,VOLLEYBALL,OUTDOOR,1178064.5429700001,1841736.15383,"(41.721036, -87.623383)"
ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR,1169422.3975200001,1829549.48758,"(41.687785, -87.655389)"
ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR,1169493.6477099999,1829549.48758,"(41.687784, -87.655128)"
ADA (SAWYER GARRETT),45,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1169846.94031,1829819.97523,"(41.688518, -87.653827)"
ADA (SAWYER GARRETT),45,FITNESS CENTER,INDOOR,1169213.8378999999,1829674.5824800001,"(41.688133, -87.656149)"
ADA (SAWYER GARRETT),45,GYMNASIUM,INDOOR,1169259.84831,1829709.55058,"(41.688228, -87.65598)"
ADA (SAWYER GARRETT),45,BASEBALL JR/SOFTBALL,OUTDOOR,1169613.64747,1829930.1124799999,"(41.688826, -87.654678)"
ADA (SAWYER GARRETT),45,BASEBALL JR/SOFTBALL,OUTDOOR,1170170.5223399999,1829648.8623800001,"(41.688042, -87.652647)"
ADA (SAWYER GARRETT),45,POOL (OUTDOOR),OUTDOOR,1169233.02257,1829836.36234,"(41.688577, -87.656074)"
ADA (SAWYER GARRETT),45,PLAYGROUND,OUTDOOR,1169471.1474299999,1830010.7373200001,"(41.68905, -87.655197)"
ADA (SAWYER GARRETT),45,SPRAY FEATURE,OUTDOOR,1169296.7727699999,1829890.7372300001,"(41.688725, -87.655839)"
ADA (SAWYER GARRETT),45,BASEBALL SR,OUTDOOR,1169619.2724599999,1829648.8623800001,"(41.688054, -87.654666)"
ADA (SAWYER GARRETT),45,BASEBALL SR,OUTDOOR,1170161.1473600001,1829937.61246,"(41.688834, -87.652673)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169096.1478500001,1829556.9875700001,"(41.687813, -87.656583)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169144.89775,1829556.9875700001,"(41.687812, -87.656405)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169193.6476499999,1829558.86256,"(41.687816, -87.656226)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169240.52256,1829558.86256,"(41.687815, -87.656055)"
ADAMS (GEORGE & ADELE),1019,PLAYGROUND,OUTDOOR,1168844.82158,1913034.3862300001,"(41.91689, -87.655092)"
ADAMS (GEORGE & ADELE),1019,WATER PLAYGROUND,OUTDOOR,1168833.0207499999,1913119.27615,"(41.917123, -87.655133)"
AIELLO (JOHN),1280,PLAYGROUND PARK,OUTDOOR,1135835.1989500001,1913620.6960799999,"(41.919151, -87.776356)"
ALGONQUIN,1161,PLAYGROUND PARK,OUTDOOR,1157955.6258400001,1919624.3802700001,"(41.935202, -87.694918)"
ALTGELD (JOHN),206,BASKETBALL COURT,OUTDOOR,1158626.4227199999,1897407.80856,"(41.874225, -87.693063)"
ALTGELD (JOHN),206,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1158841.44952,1897443.1716799999,"(41.874317, -87.692272)"
ALTGELD (JOHN),206,FITNESS CENTER,INDOOR,1158551.92451,1897478.7418200001,"(41.874421, -87.693334)"
ALTGELD (JOHN),206,GYMNASIUM,INDOOR,1158566.8142500001,1897441.51715,"(41.874318, -87.693281)"
ALTGELD (JOHN),206,BASEBALL JR/SOFTBALL,OUTDOOR,1158933.1872,1897566.24755,"(41.874653, -87.691932)"
ALTGELD (JOHN),206,BASEBALL JR/SOFTBALL,OUTDOOR,1158939.92931,1897370.72694,"(41.874116, -87.691913)"
ALTGELD (JOHN),206,POOL (OUTDOOR),OUTDOOR,1158543.83201,1897333.6456500001,"(41.874023, -87.693368)"
ALTGELD (JOHN),206,PLAYGROUND,OUTDOOR,1158556.4733899999,1897578.8889299999,"(41.874695, -87.693315)"
ALTGELD (JOHN),206,BASEBALL SR,OUTDOOR,1158711.5413200001,1897552.7633199999,"(41.874621, -87.692746)"
AMUNDSEN (ROALD),129,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1135335.16386,1911724.0072900001,"(41.913955, -87.778239)"
AMUNDSEN (ROALD),129,FITNESS CENTER,INDOOR,1134788.7597699999,1911509.8548300001,"(41.913377, -87.780251)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1134794.1452599999,1911720.9731699999,"(41.913956, -87.780226)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1135079.70046,1911902.2526700001,"(41.914449, -87.779173)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1135560.97279,1911883.0017200001,"(41.914387, -87.777405)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1135568.9941,1911459.4819,"(41.913225, -87.777386)"
AMUNDSEN (ROALD),129,PLAYGROUND,OUTDOOR,1134980.2374,1911523.65139,"(41.913412, -87.779547)"
