PARK NAME,PARK NUMBER,ART,ARTIST,OWNER,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
HUMBOLDT (BARON VON),219,Interpreting Nature,Roman Villareal,CPD,1156808.64946,1909066.8679200001,41.906255000000002,-87.699420000000003,"(41.906255, -87.69942)"
SENN (NICHOLAS),227,The Young Lincoln,Charles Keck,CPD,1164734.0056499999,1939563.37418,41.989775000000002,-87.669439999999994,"(41.989775, -87.66944)"
LINCOLN (ABRAHAM),100,Kwa-Ma-Rolas (Totem Pole),Haida Indians,CPD,1172198.75844,1924752.8578699999,41.948971999999998,-87.642422999999994,"(41.948972, -87.642423)"
ARRIGO (VICTOR),215,Christopher Columbus and Fountain,Moses Ezekiel,CPD,1167268.04553,1896559.5281,41.871715999999999,-87.661359000000004,"(41.871716, -87.661359)"
LINCOLN (ABRAHAM),100,Curve XXII (I Will),Ellsworth Kelly,CPD,1174726.4062699999,1916451.13989,41.926136,-87.633381,"(41.926136, -87.633381)"
LINCOLN (ABRAHAM),100,East Gate Arch,Greg & Camille Leavitt,Lincoln Park Zoo,1175030.5053999999,1914927.6606600001,41.921948,-87.632309000000006,"(41.921948, -87.632309)"
MIDWAY PLAISANCE,1268,Cheney-Goode Memorial,South Park Commission Architects,CPD,1187426.15417,1865865.2436899999,41.787032000000004,-87.588329000000002,"(41.787032, -87.588329)"
BURNHAM (DANIEL),27,Chicago Firefighter/Paramedic Memorial,John Alaniz,CPD,1181382.6344300001,1889015.1888600001,41.850698999999999,-87.609773000000004,"(41.850699, -87.609773)"
MOUNT GREENWOOD,251,Playground Art,CPAG,CPD,1153868.8426699999,1830584.16071,41.690947000000001,-87.712301999999994,"(41.690947, -87.712302)"
BURNHAM (DANIEL),27,Wallach Fountain,Frederick & Elisabeth Hibbard,CPD,1190854.2273599999,1869008.1012500001,41.795574000000002,-87.575658000000004,"(41.795574, -87.575658)"
GRANT (ULYSSES),24,Paris Metro Entryway (Guimard),Hector Guimard,COC,1177452.78205,1898558.76951,41.876976999999997,-87.623906000000005,"(41.876977, -87.623906)"
TOUHY (PATRICK),246,The Receptor,Tamsie Ringler,Tamsie Ringler,1163191.4752700001,1948775.71206,42.015085999999997,-87.674852999999999,"(42.015086, -87.674853)"
"WICKER (CHARLES, JOEL)",214,Gurgolye Fountain,Robinson Iron Works,CPD,1162981.59938,1909635.8110100001,41.907688999999998,-87.676728999999995,"(41.907689, -87.676729)"
PORTAGE,147,Canoe Sculpture,"Phil Schuster, CPAG", ,1138414.6964100001,1926503.12045,41.954455000000003,-87.766565999999997,"(41.954455, -87.766566)"
LINCOLN (ABRAHAM),100,Old Fishing Hole,Peter Darro,Lincoln Park Zoo,1174662.5911099999,1914428.2059500001,41.920586,-87.633675999999994,"(41.920586, -87.633676)"
GRANT (ULYSSES),24,8th Street Fountain,"Bennett, Frost & Thomas",CPD,1177623.56189,1896717.2223400001,41.871920000000003,-87.623334999999997,"(41.87192, -87.623335)"
GARFIELD (JAMES),204,Conservatory Entrance Fountain,"Wolff, Clements & Assoc",CPD,1152123.1004300001,1901751.8405500001,41.886276000000002,-87.716825,"(41.886276, -87.716825)"
GRANT (ULYSSES),24,Christopher Columbus Monument,Carl Brioschi,CPD,1178648.30164,1895271.2586999999,41.867927999999999,-87.619617000000005,"(41.867928, -87.619617)"
